flavor,description,image,price,producer
Pajarito waniliowe w saszetkach 20x3g,Pajarito waniliowe 20 x 3 g to paragwajska yerba mate w saszetkach. Każda torebka herbaciana zawiera 3 g suszu wzbogaconego o aromat wanilii. Gorąco polecamy!,www.poyerbani.pl/pol_pl_Pajarito-waniliowe-w-saszetkach-20x3g-2262_1.png,11.90,Pajarito
Ruvicha Chia 500 g,"Ruvicha Chia - mocna w smaku, dymna w aromacie, z 100 % naturalnymi dodatkami: nasionami chia, miętą i boldo.",www.poyerbani.pl/pol_pl_Ruvicha-Chia-500-g-9880_1.png,25.99,Ruvicha
Ruvicha Energia Guarana 500 g,"Ruvicha Energia Guarana - mocno energetyzujące połączenie suszonej dymem, intensywnej, goryczkowej yerba mate i nieco cierpkiej, a jednocześnie lekko słodkawej guarany. Każdy łyk naparu to niesamowita mieszanka smaków i zastrzyk energii.",www.poyerbani.pl/pol_pl_Ruvicha-Energia-Guarana-500-g-10342_1.png,29.90,Ruvicha
Ruvicha Pantanal 500 g,"Ruvicha Pantanal - przyjemne, odświeżające połączenie dymnej, paragwajskiej yerba mate, z aromatyczną miętą i boldo, cytrusową werbeną oraz ziołowym koprem włoskim.",www.poyerbani.pl/pol_pl_Ruvicha-Pantanal-500-g-9881_1.png,25.99,Ruvicha
Ruvicha Relajante 500 g,"Ruvicha Relajante - przyjemna w smaku i aromacie kompozycja powstała z połączenia dymnej, paragwajskiej yerba mate i aromatycznych ziół: lipy, słodkawo-korzennego anyżu i łagodnego rumianku.",www.poyerbani.pl/pol_pl_Ruvicha-Relajante-500-g-9882_1.png,25.99,Ruvicha
Ruvicha Rustica 500 g,"Ruvicha Rustica to klasyczna, paragwajska yerba mate - mocna w smaku, dymna w aromacie. Wraz ze świeżością ostrokrzewu, wyraźnie czuć wędzone nuty. Drobno zmielony susz bez dodatków, za to z dużą ilością pyłu.",www.poyerbani.pl/pol_pl_Ruvicha-Rustica-500-g-9879_1.png,25.99,Ruvicha
Ruvicha Silvestre 500 g,"Ruvicha Silvestre mimo klasycznej formy, wyróżnia się wytrawnymi, drzewiasto-palonymi nutami w smaku, które docenią wprawieni, zaznajomieni z mocnym smakiem paragwajskiej yerby mateiści.",www.poyerbani.pl/pol_pl_Ruvicha-Silvestre-500-g-9878_2.png,25.99,Ruvicha
Selecta Acerola Y Vitamina C,"Selecta Acerola y Vitamina C 500 g 0,5 kg to tradycyjnie dymna paragwajska yerba z dodatkiem aromatu aceroli, tropikalnego owocu przypominającego wiśnie. Okazuje się, że jej cierpki smak doskonale łączy się z wytrawnym charakterem yerba mate. ",www.poyerbani.pl/pol_pl_Selecta-Acerola-Y-Vitamina-C-0-5kg-8368_2.png,22.99,Selecta
 Selecta Albaricoque Morela,Selecta Albaricoque Apricot to wzbogacona smakiem moreli fantastyczna mieszanka od jednej z najsłynniejszych marek yerba mate na świecie.,www.poyerbani.pl/pol_pl_-Selecta-Albaricoque-Morela-0-5kg-9485_1.png,16.09,Selecta
"Selecta Jengibre, Limón Y Miel","Selecta Jengibre, Limón Y Miel łączy w sobie smak tradycyjnej paragwajskiej yerba mate oraz cytryny, miodu i imbiru. Nietypowa, lecz bardzo harmonijna i dopracowana kompozycja doskonale rozgrzewa. Ponadto, jest świetnym źródłem naturalnej kofeiny.",www.poyerbani.pl/pol_pl_Selecta-Jengibre-Limon-Y-Miel-0-5kg-8365_2.png,16.09,Selecta
Selecta Limon y Cedron (cytryna i werbena),Selecta Limón y Cedrón 500 g 0.5 kg to paragwajska yerba mate z cytryną i werbeną cytrynową. Kwaskowy i delikatnie orzeźwiający smak dodatków tworzy subtelną całość z goryczkowym smakiem suszu. Polecamy!,www.poyerbani.pl/pol_pl_Selecta-Limon-y-Cedron-cytryna-i-werbena-0-5kg-2998_1.png,22.99,Selecta
Selecta Manzana Verde,Selecta Manzana Verde to nic innego jak fuzja klasycznie dymnej paragwajskiej yerba mate i smaku jabłka. Produkt cechuje się doskonałym potencjałem pobudzającym. Przypadnie do gustu miłośnikom mocnych yerba mate o orzeźwiającym owocowym smaku.,www.poyerbani.pl/pol_pl_Selecta-Manzana-Verde-0-5kg-8366_2.png,16.09,Selecta
 Selecta Maracuya,"Selecta Maracuya - pochodząca prosto z Paragwaju, egzotyczna mieszanka yerba mate z dodatkiem intrygującej marakui. ",www.poyerbani.pl/pol_pl_-Selecta-Maracuya-0-5kg-9486_1.png,22.99,Selecta
 Selecta Naranja,"Selecta Naranja - wzbogacona smakiem orzeźwiającej pomarańczy, o bardzo intensywnym i przyjemnym zapachu.",www.poyerbani.pl/pol_pl_-Selecta-Naranja-0-5kg-9487_1.png,22.99,Selecta
